Aspect term,Review text
"(Boot time, neutral)","Boot time is super fast, around anywhere from 35 seconds to 1 minute."
"(tech support, neutral)",tech support would not fix the problem unless I bought your plan for $150 plus.
,but in resume this computer rocks!
"(Set up, positive)",Set up was easy.
"(Windows 8, negative);  (touchscreen functions, negative)",Did not enjoy the new Windows 8 and touchscreen functions.
,"I expected so as it's an Apple product, but I was glad to see my expectations exceeded, this is THE laptop to buy right now."
"(internal speakers, neutral);  (internal speakers, positive)","Other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook I don't like, especially considering the $350 price tag."
,excellent in every way.
"(installation disk (DVD, neutral)",No installation disk (DVD) is included.
"(use, positive)","It's fast, light, and simple to use."
"(apple OS, positive)","Works well, and I am extremely happy to be back to an apple OS."
,This mac has been a problem since we got it.
"(features, positive)",Sure it's not light and slim but the features make up for it 100%.
"(WiFi connection, neutral);  (battery life, positive);  (log on, positive)","I am pleased with the fast log on, speedy WiFi connection and the long battery life (>6 hrs)."
"(delete key, negative)",The Apple engineers have not yet discovered the delete key.
"(interneting, positive)",Made interneting (part of my business) very difficult to maintain.
"(priced, positive)","Luckily, for all of us contemplating the decision, the Mac Mini is priced just right."
,Small and still VERY powerful.
,I had gotten this model for  $1199.00 on my State's tax-free weekend and had a $100 off coupon for a MacBook at the local BestBuy!
"(works, positive)","Super light, super sexy and everything just works."
"(track pad, positive)","Only problem that I had was that the track pad was not very good for me, I only had a problem once or twice with it, But probably my computer was a bit defective."
,And if you are switching from a pc I hilghy sugest this one.
"(graphics, positive)",It is super fast and has outstanding graphics.
"(mountain lion, negative)",But the mountain lion is just too slow.
"(durability, positive);  (build, positive)",Strong build though which really adds to its durability.
"(battery life, positive)",The battery life is excellent- 6-7 hours without charging.
,I enjoy having apple products.
"(works, positive)",I've had my computer for 2 weeks already and it works perfectly.
,I will never go back to a PC again!
"(Windows 8, positive)",And I may be the only one but I am really liking Windows 8.
"(baterry, positive)",The baterry is very longer.
,And it's so quiet that I don't hear it at all.
"(weight, neutral);  (size, neutral)",Its size is ideal and the weight is acceptable.
,"I know Apples are more expensive than PCs, but he thinks it is worth every penny."
,To me it's a workhorse... and quiet as can be... you even save big bucks not dishing out any extra to Uncle Sam... Definite Buy...
"(performance, positive)",I can say that I am fully satisfied with the performance that the computer has supplied.
,"I'm pretty sure when I bought it, my bank account went 'ouch!"
,Thank you so much for the great item.
"(USB ports, neutral)","This laptop has only 2 USB ports, and they are both on the same side."
,It's annoying very much and I won't ever buy any Acer products.
,This is why I purchased a BRAND NEW LAPTOP in the first place so it wouldn't have ANY problems.
"(speed, positive);  (screen, negative)",It has so much more speed and the screen is very sharp.
,"As for the laptop, this is our 3rd Apple computer in the past 2 years."
"(price, positive)",Everything I wanted and everything I needed and the price was great!
"(Hardware performance, neutral)",It's not inexpensive but the Hardware performance is impressive for a computer this small.
,It is better than my old acer laptop.
"(set up, positive);  (works, positive)","This thing is awesome, everything always works, everything is always easy to set up, everything is compatible, its literally everything I could ask for."
,I would buy it again in a heartbeat!
"(Keyboard, neutral)",Keyboard responds well to presses.
,If someone called me an Apple Fanboy...it would make sense.
"(Windows 8, neutral)","Lastly, Windows 8 is annoying."
,"A scratch on a $1,500 MacBook is unforgivable."
,I just fell in love with this thing.
"(configure, positive);  (setup, positive)",Everything is so easy and intuitive to setup or configure.
,"I have no problems yet on my mac so far, and hope it stays like that."
,This laptop is a great buy.
"(Windows 8, negative)",Biggest complaint is Windows 8 .
"(usb ports, neutral)",Only 2 usb ports...seems kind of...limited.
,It has been to early to see if this actually fixes the problem or not though.
,This device has met my expectations and I'm sure it will meet yours.
"(screen, positive);  (keyboard, neutral)",It has all the expected features and more +plus a wide screen and more than roomy keyboard.
,"Out of all the laptops I have owned, this is by far the best!"
"(Performance, positive)",Amazing Performance for anything I throw at it.
,"I can never go back to a PC now, this machine never freezes or has any problems."
,Out of the box I noticed how small it was and was exactly what I was looking for.
"(quality, positive);  (performance, positive)",The receiver was full of superlatives for the quality and performance.
"(OS, positive)",I was extremely happy with the OS itself.
,I was looking for something in between a regular laptop and a tablet and this is it.
"(portability, positive)",The new MBP offers great portability and gives us confidence that we are not going to need to purchase a new laptop in 18 months.
,Great purchase and I definitely didn't miss out on the Black Friday deals.
"(portable computing, positive)","The criticism has waned, and now I'd be the first to recommend an Air for truly portable computing."
"(Windows 8, neutral)",I would have given it 5 starts was it not for the fact that it had Windows 8
"(MS Office 2011 for Mac, neutral)","MS Office 2011 for Mac is wonderful, well worth it."
,"After using it for over a month, an issue started to surface."
"(performance, negative)",But the performance of Mac Mini is a huge disappointment.
,There has been no problem with anything.
,I believe with Apple - you get what you pay for.
"(performance, positive)",They don't just look good; they deliver excellent performance.
"(screen display, positive);  (lit up keys, positive)",I have had it over a year now with out a Glitch of any kind..I love the lit up keys and screen display...this thing is Fast and clear as can be.
,The product is prefect for everyone.
"(Mountain Lion OS, positive)",The Mountain Lion OS is not hard to figure out if you are familiar with Microsoft Windows.
"(OSX, positive)","However, I can refute that OSX is ""FAST""."
,I waited to review to make sure it is what it is.
"(Microsoft Office, positive)",Enjoy using Microsoft Office!
,I would suggest this product to anyone.
,"With no problems,  I'm happy with this purchase because I saved money compared to buying it anywhere else."
"(colors, neutral);  (graphics, neutral)",Incredible graphics and brilliant colors.
,I needed something affordable from Apple and was tired of dealing with PC laptop after PC laptop.
,Just bit the bullet and bought the Mac hoping it will last a lot longer….
"(Built-in apps, positive);  (Built-in apps, neutral)",Built-in apps are purely amazing.
"(Screen resolution, neutral)",Cons: Screen resolution.
"(multi touch gestures, neutral)",From the speed to the multi touch gestures this operating system beats Windows easily.
"(size, positive)",I really like the size and I'm a fan of the ACERS.
,"This is by far thee best, most reliable computer I could find."
"(SquareTrade 3-Year Computer Accidental Protection Warranty, neutral)","I opted for the SquareTrade 3-Year Computer Accidental Protection Warranty ($1500-2000) which also support ""accidents"" like drops and spills that are NOT covered by AppleCare."
"(transport, positive)",It's light and easy to transport.
"(Windows 8 Set-Up, negative)",Once you get past learning how to use the poorly designed Windows 8 Set-Up you may feel frustrated.
,Very powerful especially for the money.
,"When my Dell laptop gave up only after 2 1/2 years, I decided to buy MacBook Pro."
"(retina display, positive);  (size, positive)","It's been time for a new laptop, and the only debate was which size of the Mac laptops, and whether to spring for the retina display."
,This was a significantly more affordable than getting a new MacBook Pro from Apple.
,I have always wanted a MacBook Pro.....always!
"(design, neutral);  (aluminum casing, neutral)",The reason why I choose apple MacBook because of their design and the aluminum casing.
"(aluminum body, positive)",The aluminum body sure makes it stand out.
,"Overall it's an amazing product, 5 stars!"
"(USB devices, neutral);  (integrate bluetooth devices, neutral)","It is very easy to integrate bluetooth devices, and USB devices are recognized almost instantly."
,He's thrilled with his new laptop.
,Amazing product as you would expect from Apple.
,Nothing wrong with this computer at all!
"(Intel4000 graphic chip, positive);  (Intel4000 graphic chip, neutral)","And the fact that Apple is driving the 13"" RMBP with the Intel4000 graphic chip seems underpowered (to me."
,I have to wonder why Amazon is even selling this dinosaur.
"(DVD drive Firewire port, neutral)",Apple removed the DVD drive Firewire port (will work with adapter) and put the SDXC slot in a silly position on the back.
,No hassle and no complaints.
,"LOVE IT I've always been an apple fan boy, but never had the money to buy a mac, only ipads and iphones, and this is my first mac, blew me away completely."
"(durability, positive)",The durability of the laptop will make it worth the money.
"(designed, positive)",Well designed and fast.
,And now I am a proud MacBook owner also!
"(use, positive)","But I was completely wrong, this computer is UNBELIEVABLE amazing and easy to use."
"(value, positive)",Exactly as posted plus a great value.
"(specs, positive)",The specs are pretty good too.
,"I am having a friend look at it , but will probably return it."
,There were no scratches or dents or any marks at all.
,"I've only had it one day, but I really do love it and I'm happy it was economical and I'm finally able to own a Mac!"
,"Since I have always used Apple products, the choice of Macbook Pro was obvious."
"(product quality, neutral);  (craftmanship, neutral);  (aesthetics, neutral);  (customer service, neutral)","Apple is unmatched in product quality,aesthetics,craftmanship, and customer service."
,This is my first apple laptop.
,It makes a great gift.
"(windows 8, positive);  (windows 8, neutral);  (size, positive)",It is a great size and amazing windows 8 included!
,I would recommend to any one lloking for a first class computer!
"(Windows 8, positive)",I do not like too much Windows 8.
"(Startup times, neutral)",Startup times are incredibly long: over two minutes.
,I bought this Macbook Pro from Best Buy under a year ago to replace my old Macbook Air.
,The macbook pro is really responsive.
"(colors, positive)",Also stunning colors and speedy
,it is really expensive though.
"(price, positive)",great price free shipping what else can i ask for!!
"(mouse, positive)",This mouse is terrific.
,I will also say it is much better than I expected!
,This computer does everything i need it to do for school and more.
"(battery, negative)",It is really thick around the battery.
"(windows 7, neutral)",And windows 7 works like a charm.
,And I can attach my projector to it.
"(service, positive);  (price, positive);  (delivery, positive)",":) Great product, great price, great delivery, and great service."
"(customer service, positive)",:] It arrived so fast and customer service was great.
"(windows 8, negative)",tried windows 8 and hated it !!!
"(price, negative)","The price is higher than most lab top out there; however, he/she will get what they paid for, which is a great computer."
,"So, I thought why not give Mac Book pro a try."
"(Set up, neutral)",Set up was a breeze.
"(Win8, neutral)",But I do NOT like Win8.
,I have owned at least 4 to 5 laptops and computers - but this is by far the most superior machine I have ever owned.
"(features, neutral)",I am still in the process of learning about its features.
,"BTW, I checked online regarding the old laptop that 'died' and found that I was not alone, far from it."
"(OSX, positive);  (price, positive);  (support for games, positive)","I had the same reasons as most PC users: the price, the overbearing restrictions of OSX and lack of support for games."
"(mobility, negative)","I wanted it for it's mobility and man, this little bad boy is very nice."
,Seems to me that's the best way to get Apple's attention.
,Very nice so far.
,You won't be disappointed.
"(price, positive)","The investment of a new MacBook Pro came at a price, but totally worth it for a good piece of mind."
"(set up, positive)",I found the mini to be:Exceptionally easy to set up
"(USB3, neutral)",Having USB3 is why I bought this Mini.
,Be sure to have good air flow where ever you put it.
"(sound, positive)",The sound is nice and loud; I don't have any problems with hearing anything.
"(track pad, neutral)","It is very slim, the track pad is very much impressed with me."
,This was the same problem with my MacBook (circa 2007) that I just retired.
,"Great things come in small ""packages."
,HUGE Apple MAC Fan!
,"Looked at HP, ASUS, Acer, Sony and a bunch of other ones but could not find I really liked."
"(settings, neutral)",The settings are not user-friendly either.
,"Honestly, I am surprised no one else has mentioned returning theirs."
,"Most of them were either too big, too noisy and too slow after 2 years."
,"The machine is used, but is like new, i'm very impress."
"(OpenOffice, neutral)",Thank goodness for OpenOffice!
"(form factor, neutral);  (UX, neutral);  (battery life, positive)","Awesome form factor, great battery life, wonderful UX."
,"Needless to say, the leap from that to this has been amazing and (aside from the financial reasons) I am astounded that I hadn't made the switch sooner."
,"Its perfect, not much heavy."
"(screen, positive);  (keyboard, positive)",i love the keyboard and the screen.
,I find it not to be very user friendly.
,It has surpassed all expectations and fulfilled all my needs.
"(touchpad, negative)","However, there are MAJOR issues with the touchpad which render the device nearly useless."
,What angers me more than anything else is that I spent all those years hating MACs when I could have been getting a lot more production with a whole lot less grief!
"(Mavericks, positive)",I've already upgraded o Mavericks and I am impressed with everything about this computer.
,So this is very good commputer and i highly suggest it.
,the mbp i recieved was everything it should have been.
,I was going to buy today and noticed it went back up to $344.99?
"(i5, positive)",Not as fast as I would have expect for an i5.
,SO of course this one came through with the awesomeness!
,You will not regret buying this computer!
,Nothing bad to say about it.
,It s heavy for Mac book but is good.
"(service, positive)",thanks for great service and shipping!
,Deal of the year.
,My sisters same laptop broke about the month later for the same reason.
,Minis make sense for a lot of people.
"(built-in applications, positive)","The performance seems quite good, and built-in applications like iPhoto work great with my phone and camera."
,This Mac Mini makes the Macbook Pro seem slow.
"(hard drive, positive)",I did swap out the hard drive for a Samsung 830 SSD which I highly recommend.
,"I bought this MacBook Pro to replace my six-year-old PC (a Sony Vaio), but it was basically no better than my old PC, so I returned it."
,"I wanted a simple, reliable  laptop."
,Cheaper than buying it @ apple too!
,I have just had to learn to be a little harder typer than on my last computer.
,Extremely disappointed with the way it is.
,Never been happier using  computer.
,I have had a total of 5 different laptop from many different manufactures.
,Does everything I wanted this laptop to do.
,"Besides, the apple stocks have been falling due to lack of sales."
,Turns out this is a common problem.
"(Starts up, neutral)",Starts up in a hurry and everything is ready to go.
,It is also fast as can be... you get what you pay for... well worth the investment
,But I'm still learning so can't rate it yet for everything.
,"Overall very impressed, Thank you Apple and Amazon!"
"(aluminum, positive)","Yes, that's a good thing, but it's made from aluminum that scratches easily."
,Very fast for my needs.
,I bought this Mac in order to replace my old Dell laptop.
"(built in virus control, positive)",Quick and has built in virus control.
"(retina display, negative)",Took a long time trying to decide between one with retina display and one without.
,I saw the Mini Mac at Best Buy and decided to get this as my replacement.
,I finally decided on this one and couldn't be any happier.
"(components, negative)",I was also informed that the components of the Mac Book were dirty.
,So glad I did not waste money on a less than par product.
,Haven't regretted it one bit.
,The one thing that Apple does right is computers.
"(hardware, negative)","the hardware problems have been so bad, i can't wait till it completely dies in 3 years, TOPS!"
"(snow lion, positive);  (battery, positive)",It's so nice that the battery last so long and that this machine has the snow lion!
,I think that they are the best out on the market.
"(shipping, neutral)",HOWEVER I chose two day shipping and it took over a week to arrive.
,"That's quite a bump up from the $599 that this little guy sells for, which leaves me to my next point."
,this is quite smooth as well as heavy and can easily slip through the hands.
,My laptop is so light that I can take it with me anywhere.
"(features, positive)","it's exactly what i wanted, and it has all the new features and whatnot."
,You can do absolutely anything and is very fast and stylish.
,"Finally decided to try a MAC because there were too many choices of which PC's to buy and EVERYONE who had a MAC said ""buy a MAC""."
"(quality, neutral)",Can you buy any laptop that matches the quality of a MacBook?
"(keyboard, negative)","It feels cheap, the keyboard is not very sensitive."
,That defeated the whole point of a laptop.
"(sound quality, positive)","Though please note that sometimes it crashes, and the sound quality isnt superb."
"(navigate, positive)",It is very easy to navigate even for a novice.
,"But until now, no complains at all."
,The cons are more annoyances that can be lived with.
"(battery life, neutral)","Does everything I need it to, has a wonderful battery life and I couldn't be happier."
"(Quality, positive);  (Performance, positive)",Great Performance and Quality.
,Just What I Needed For Portable And My Wallet Too!
,The device speaks about it self.
"(windows XP, neutral);  (windows Vista, neutral);  (Windows 7, neutral)","I used windows XP, windows Vista, and Windows 7 extensively."
,the only thing that bums me out about this purchase is they released a newer updated mbp seriously RIGHT after i bought this one.
,it does get hot when using on a bed or sofa and gets warm on a desk....this is in an un-air conditioned room.....in air condition it gets slightly warm......
"(SSD drive, neutral);  (memory, neutral)",I did add a SSD drive and memory
,I got this one for thanks giving Offer for $962 :).
,I had my PC laptop for 3 years and going to a MacBook Pro is like I leaped through time.
"(itune, positive);  (start up, positive)",On start up it asks endless questions just so itune can sell you more of their products.
,Pretty much made sense to get a Mini.
"(OS, positive)",I Have been a Pc user for a very long time now but I will get used to this new OS.
,not something you want to miss out on!!!
"(restore disks, neutral);  (charging cables, neutral);  (material, positive)","One more thing, this mac does NOT come with restore disks and I am not sure if you can make them direct from the mac like you can with newer PC's, also the charging cables are made of the same cheap material as the iPhone/iPod touch cables."
"(graphic design, positive)",I bought it to my son who uses it for graphic design.
,I previously owned an older Dell laptop that died after about 5 or 6 years.
,Its a pretty decent computer.
"(external mics, positive)",I never tried any external mics with that iMac.
"(os, positive)",The new os is great on my macbook pro!
,"It was fast, and it was ""different""."
"(screen, positive)",I had a little problem adjusting to the small screen but works fine as long as I remember to carry my glasses.
,I purchased my first Mac and am glad I did.
"(works, positive)","I have experienced no problems, works as anticipated."
"(System, positive)",System is running great.
"(create your own bookmarks, positive)",Easy to customize setting and even create your own bookmarks.
,They really screwed the pooch on this one.
"(wireless keyboard / mouse, positive)","The MAC Mini, wireless keyboard / mouse and a HDMI cable is all I need to get some real work done."
,I finally pulled the trigger and I am blown away by how much more I enjoy my computer tasks using the Mac Mini!!!
"(price, positive)","it has all the features that we expected and the price was good, working well so far."
"(gaming, positive)","I work as a designer and coder and I needed a new buddy to work with, not gaming."
,I was told that it seems to be a multi - component failure.
"(operating system, positive)",The new operating system makes this computer into a super iPad.
,I am very happy with my first Mac.
"(set up, positive)",Easy to set up and go!
"(hard drive, positive)",I can't believe how quiet the hard drive is and how quick this thing boots up.
"(scanning, neutral)",The only issue came when I tried scanning to the mac.
,The machine is speedy and efficient.
"(price point, positive)",I think this is about as good as it gets at anything close to this price point.
,"A *big* upgrade from my 13"" 2006 macbook."
"(works, positive)",It's just what we were looking for and it works great.
,Having a Mac certainly makes life easier.
"(surfing, positive);  (working, positive)",It's so quick and responsive that it makes working/surfing on a computer so much more pleasurable!
,The old unibody macbook pro could fry an egg after a while.
"(works, positive);  (software, positive)","It works fine, and all the software seems to run pretty well."
,"For this purpose, it's great."
,Couldn't have asked for more!
"(word processing, neutral);  (gaming, neutral);  (programming, neutral);  (web browsing, neutral)","I'm using this computer for word processing, web browsing, some gaming, and I'm learning programming."
,"It certainly does, but you rarely hear any of your friends with Mac's complain about anything."
"(function, positive)","My wife was so excited to open the box, but quickly came to see that it did not function as it should."
,I don't have any technical pearls to share.
"(performance, neutral);  (performance, positive)","I wanted a computer that was quite, fast, and that had overall great performance."
"(Apple ""Help"", neutral)","Apple ""Help"" is a mixed bag."
,All I can say is I am impressed.
"(work, neutral)",It suddenly can not work.
,It did everything we expected!
"(Harddrive, negative)","Harddrive was in poor condition, had to replace it."
"(on/off switch, neutral)",The on/off switch is a bit obscure in the rear corner.
,It's a nice little gadget.
"(instructions, negative)",My only complaint is the total lack of instructions that come with the mac mini.
"(integrated Intel 4000 graphics, neutral);  (gaming, positive)","The only task that this computer would not be good enough for would be gaming, otherwise the integrated Intel 4000 graphics work well for other tasks."
,It's macbook pro and there is no discusion about it.
"(features, neutral)",I'm hoping the rest of the features will be the signature quality of apple.
"(content creation, positive)","I use it mostly for content creation (Audio, video, photo editing) and its reliable."
,It is the best all around Mac.
"(Screen, positive)",Screen is bright and gorgeous.
,Also is portable and reliable.
"(brightness, negative)","The only solution is to turn the brightness down, etc."
,It is not an easy decision to purchase a used or even good as new laptop but I am very satisfied.
"(applications, positive)",If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.
"(use, positive)","It is robust, with a friendly use as all Apple products."
,"Even if you don't do business, thats okay, it's incredibly fast."
"(use, positive)",It is fast and easy to use.
,This was absolutely annoying!
"(i5 processor, neutral)",And the fact that it comes with an i5 processor definitely speeds things up
,But for those of you that dont have a mac and are still on the PC's this is a good foot in the door into mac.
"(built in features, positive)",I have been PC for years but this computer is intuitive and its built in features are a great help
,and it fits in my briefcase with ease
"(screen, positive);  (keyboard, positive)","Nice screen, keyboard works great!"
,Still not bad for 220.00.
"(delivery, positive)",I was amazed at how fast the delivery was.
,Good computer and fast.
"(SSD, neutral)",I've installed to it additional SSD and 16Gb RAM.
"(memory, negative)",The memory was gone and it was not able to be used.
,Its pretty much fire it up and go.
"(works, positive)",It works great and I am so happy I bought it.
,Let me start off by saying that I was highly reluctant to spend so much money on a laptop.
"(ports, neutral);  (design, neutral);  (keyboard, neutral)","I like the design and ease of use with the keyboard, plenty of ports."
,"Apple is living up to its name with the mini and, for our needs, it's perfect."
"(service, positive)",it definitely beats my old mac and the service was great.
,I went from a Macbook to this Mac Mini and this was a great upgrade!
"(Web browsing, positive)",Web browsing is very quick with Safari browser.
,It couldn't have been a better decision.
"(lighted screen, neutral)",I like the lighted screen at night.
,It's great to have a solid Mac in the living room.
"(start up, positive);  (use, positive)",It is really easy to use and it is quick to start up.
"(operation, negative)",I've lived with the crashes and slow operation and restarts.
,Very light and easily maneuverable.
"(USB3 Peripherals, positive)",USB3 Peripherals are noticably less expensive than the ThunderBolt ones.
,This can be annoying at first but you just have to train yourself not to to start over so far.
"(warranty, neutral)",And mine had broke but I sent it in under warranty-no problems.
,I am not happy with my purchase
"(media editing, positive)","It's fast, light, and is perfect for media editing, which is mostly why I bought it in the first place."
,"However, the machine itself left a bit to be desired."
"(user experience, positive);  (user experience, neutral)","The battery lasts as advertised (give or take 15-20 minutes), and the entire user experience is very elegant."
,I spent months looking for a good laptop for me and I finally found it!
,$999.00 Tax free.
"(price, positive);  (shipment, positive)",Thanks for the fast shipment and great price.
"(performance, neutral);  (time response, neutral);  (presentation, neutral);  (usability, neutral)","!Excelent performance, usability, presentation and time response."
"(size, neutral)",The smaller size was a bonus because of space restrictions.
"(Mac OS, neutral)",I blame the Mac OS.
,"But for now, this laptop is still a workhorse."
"(Legacy programs, neutral)","In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!"
,"It's small but powerful, light but strong, elegant and beautiful... In resume: it's a Mac!"
"(operating system, neutral)",I like the operating system.
,I wish I would have taken the plunge years ago.
"(form factor, positive)",I love the form factor.
,I haven't used the product long enough to write a detailed technical review.
"(loading the internet, positive)",It's fast at loading the internet.
"(looking, positive)",So much faster and sleeker looking.
,I plan on using my MacBook Pro for a long time.
"(support, negative);  (XP, negative)","Unfortunately, it runs XP and Microsoft is dropping support next April."
,"Its seen in movies, sitcoms, prominent important people carry and use them and they are GREAT!"
"(overall build, positive);  (keyboard, positive);  (OS, positive)","First off, I really do like my MBP... once used to the OS it is pretty easy to get around, and the overall build is great... eg the keyboard is one of the best to type on."
,Does exactly what I bought it 4.
,Buy the Mac Mini it's a terribly great machine.
"(construction, positive)",It is made of such solid construction and since I have never had a Mac using my iPhone helped me get used to the system a bit.
,"I love this piece of equipment, It will be hard to go back to other type of laptop after using a MacBook Pro."
"(unibody construction, positive);  (unibody construction, neutral)",Very nice unibody construction.
,Very disappointed with Apple.
"(runs, positive)","This Macbook Pro is fast, powerful, and runs super quiet and cool."
,"***The review below is no longer relevant, Apple has fixed the issue."
"(disk drive, positive)",It's ok but doesn't have a disk drive which I didn't know until after I bought it.
"(SD card slot, neutral);  (HDMI receptacle, neutral)","There is no HDMI receptacle, nor is there an SD card slot located anywhere on the device."
,It really is very light compared to other computers.
"(works, positive)",It came in brand new and works perfectly.
,This machine is A-mazing.
"(design app, positive)","It shouldn't happen like that, I don't have any design app open or anything."
"(TRACKPAD, neutral)",MY TRACKPAD IS NOT WORKING.
,I just hope this expensive laptop doesn't go dead like my friends...it did last him 5 good years before it bit the dust.
,Considering another computer should be out of the question
"(finish, neutral)","It looks and feels solid, with a flawless finish."
,Its worth every Penny.
"(Price, negative)",Price was higher when purchased on MAC when compared to price showing on PC when I bought this product.
,This was a great deal for a decked out MacBook Pro.
"(power down, positive);  (system, positive)",Then the system would many times not power down without a forced power-off.
,"Get this instead, you won't be sorry."
"(configuration, positive)",The configuration is perfect for my needs.
"(speakers, negative)",and the speakers is the worst ever.
,I think it was around 16 hundred bucks last I checked.
"(trackpad, positive);  (use, positive);  (looks, positive)","Its the best, its got the looks, super easy to use and love all you can do with the trackpad!.."
,"It's fast, quiet, incredibly small and affordable compared to other Mac models."
"(Web surfuring, neutral)",Web surfuring is smooth and seamless.
,It was so exciting for me to unwrapp my new mac.
"(interface, positive);  (portability, positive)",I'm overall pleased with the interface and the portability of this product.
,so when I had the money to buy one I bought other things instead....a 700 laptop and some extra stuff with it.
"(works, positive);  (handle, positive);  (carry, positive)","This item is a beautiful piece, it works well, it is easy to carry and handle."
,See retired recently and decided that she wanted a laptop.
"(performance, negative)","It was also suffering from hardware (keyboard) issues, relatively slow performance and shortening battery lifetime."
,I'm no regular customer I hate wasting my time with hellos and how can I help you's.
"(Runs, positive)","Runs good and does the job, can't complain about that!"
"(footprint, positive)",It's silent and has a very small footprint on my desk.
,I have nothing to regret from this new product.
"(exterior, positive)",The exterior is absolutely gorgeous.
,Have one myself and Love it!
"(performance, positive)","It has a very high performance, just for what I needed for."
,This is especially disheartening when Apple prides itself as the choice of creative professionals.
"(intel 4000 graphics chipset, neutral);  (design, negative)",Apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 graphics chipset.
,"Stop living in the stone age and buy a mac, you will not be sorry at all!!"
"(Mavericks, neutral);  (OSX Mountain Lion, neutral)",OSX Mountain Lion  soon to upgrade to Mavericks.
,Apple hit a home run here.
"(USB ports, neutral)","I just bought the new MacBook Pro, the 13"" model, and I can't believe Apple keeps making the same mistake with regard to USB ports."
,So glad I have gone this route!!
"(wakes, negative);  (lid, negative)",It wakes in less than a second when I open the lid.
"(size, positive)",It is the perfect size and speed for me.
,I am so addict to this laptop.
"(CUSTOMER SERVICE, neutral)",THE CUSTOMER SERVICE IS TERRIFIC!!
,Trashed it when I spilled a latte on it while writing at a cafe.
"(performed, positive)","My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting something smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 years ago."
"(battery cycle count, positive);  (hardware, positive)","However, it did not have any scratches, ZERO battery cycle count (pretty surprised), and all the hardware seemed to be working perfectly."
"(OS, neutral)",After fumbling around with the OS I started searching the internet for a fix and found a number of forums on fixing the issue.
,I couldn't be more pleased.
"(finger swipes, negative)",And as for all the fancy finger swipes -- I just gave up and attached a mouse.
"(screen, positive);  (storage, positive)","I needed a laptop with big storage, a nice screen and fast so I can photoshop without any problem."
"(Mac OS, positive);  (speaker quality, positive)",I like coming back to Mac OS but this laptop is lacking in speaker quality compared to my $400  old HP laptop.
,It is much better than the Acer ultrabook I had before.
"(Shipped, positive)",Shipped very quickly and safely.
,I finally own a piece of computing equipment that I don't want to take a baseball bat and destroy.
"(thunderbolt port, neutral)",The thunderbolt port is awesome!
,"User friendly, fast and high tech  It is amazing!"
