Aspect term,Review text
"(performance, positive)",The performance is definitely superior to any computer I've ever put my hands on.
"(entertainment uses, positive)",It's great for streaming video and other entertainment uses.
,Apple did a great job.
"(design, neutral);  (features, neutral)",I like the design and its features but there are somethings I think needs to be improved.
"(Mac office, negative)",There were small problems with Mac office.
,It is extremely fast and very compact.
"(Apple Tech Support, neutral)",I understand I should call Apple Tech Support about any variables(which is my purpose of writing this con) as variables could be a bigger future problem.
"(spec, negative)","I ordered my 2012 mac mini after being disappointed with spec of the new 27"" Imacs."
"(works, positive)","It still works and it's extremely user friendly, so I would recommend it for new computer user and also for those who are just looking for a more efficient way to do things"
"(use, positive)","Its fast, easy to use and it looks great."
"(Office, positive)",(but Office can be purchased) IF I ever need a laptop again I am for sure purchasing another Toshiba!!
"(retina display, neutral)",I haven't tried the one with retina display... Maybe in the future.
,You can read all about the details of this marvelous computer on wikipedia.
"(Performance, positive)","Performance is much much better on the Pro, especially if you install an SSD on it."
"(MagSafe 2 connection, neutral);  (MagSafe accessories, neutral)","Note, however, that any existing MagSafe accessories you have will not work with the MagSafe 2 connection."
,"If you get a lemon (I have two thirds of my  Macs), you have to send it in for repairs several times before they will replace it, even if they have numerous problems with the same version of their computers."
"(touchpad, neutral);  (mouse, neutral)","The only thing I dislike is the touchpad, alot of the times its unresponsive and does things I dont want it too, I would recommend using a mouse with it."
,"Yeah, it's super expensive."
"(fans, positive);  (runs, positive)","The Mac mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc"
"(Mac OS, neutral)",MAYBE The Mac OS improvement were not The product they Want to offer.
,It came before the day it supposed to which is great.
"(Mac ecosystem, positive)",I thought the transition would be difficult at best and would take some time to fully familiarize myself with the new Mac ecosystem.
"(price, neutral)",It's absolutely wonderful and worth the price!
,"It's a good fix, in my opinion."
"(appearance, positive);  (functionality, positive);  (use, positive)",I am please with the products ease of use; out of the box ready; appearance and functionality.
,Buying a Mac Mini would allow me to make the transition.
,"Before I begin, I will say that I am not like a good percentage of the people that will end up writing a review on this computer - I am not an Apple fanboy."
,its by far faster and more stable then my PC.
,I purchased a MacBook Pro and this to replace a couple of HP units that I was using.
,"you will not regret it, promise you!"
,"Moving from a PC to Mac has never been easier, and I'm glad that I did it."
"(graphic design, positive)",Perfect for all my graphic design classes I'm taking this year in college :-)
,Have used only Macs for years.
,"Being a tech savvy, APPLE - product loving person, I'm glad I finally got the MacBook Pro!"
,I was always against them but now I buying one I'll never go back to PC.
"(slot, neutral)",I will not be using that slot again.
,I think that was a great decision to buy
"(OS, positive)","The OS is fast and fluid, everything is organized and it's just beautiful."
,"It will make life so much easier next semester, just wish I had it last semester!!"
,"I paid for a new laptop, but was sent a used one."
,Searched it on amazon and on bestbuy.
,I bought this one for my 11 year old and the MacBook Air for my 9 year old.
,I bought it for college and so far it's amazing!
"(use, neutral)",They are simpler to use.
,It was at my door in less than 24 hours.
,It's also very pricey but you just have to tell yourself it's an investment and that it's gonna last you a long time.
,It was getting old and I needed a new school computer.
"(SSD, positive)",!so nice .. stable .. fast .. now i got my SSD !
,I love apple but unlike others That does not prevent me to not be honest about how i like it and if its good or not.
,"So, I'm cooled on Mac buys."
,It is a great computer for that and I have to say I'm happy I switched.
"(built-in camera, positive)","Also, in using the built-in camera, my voice recording for my vlog sounds like the interplanetary transmissions in the ""Star Wars"" saga."
,Overall a nice computer.
,"You can imagine that an expensive item as a laptop will not be left on your front steps, it needs signature to pove that you received it."
"(start up, positive)",I love the quick start up.
,"Yes, he is a self professed ""Mac snob."
"(functionality, neutral)",You just cannot beat the functionality of an Apple device.
"(function, neutral)",Yet my mac continues to function properly.
"(Graphics, positive)",Graphics are much improved.
"(unibody construction, neutral)","Here are the things that made me confident with my purchase:Build Quality - Seriously, you can't beat a unibody construction."
,It's the mid 2012 version.
"(flexibility for connectivity, positive)",It provides much more flexibility for connectivity.
"(portability, neutral)","I want the portability of a tablet, without the limitations of a tablet and that's where this laptop comes into play."
,"I have had many, many issues with PC's in the past and I'm finally glad to have joined the Mac revolution!"
"(Mac tutorials, neutral)",Mac tutorials do help.
,When it broke I wanted another Acer and chose the V5.
"(technical support, neutral);  (technical support, positive)",The technical support was not helpful as well.
"(adapter, positive)",I got the new adapter and there was no change.
"(technical support, positive)",so i called technical support.
,"Nothing about it that i don't love, apple always makes a great product."
,"I saved about $100 plus tax ordering on Amazon and since I have prime, it arrived overnight for just $3.99 more."
"(garage band, neutral)",Came with iPhoto and garage band already loaded.
,It's all a bit magical.
"(Logic board, negative)","Logic board utterly fried, cried, and laid down and died."
,It is BLAZING fast!
"(volume, positive);  (sound, positive)",The sound was crappy even when you turn up the volume still the same results.
,ive never had a problem with it!
,"I currently own a Lenovo laptop as well as my new MacBook Pro, and each have their own strengths and weaknesses."
"(OSX Lion, positive)",OSX Lion is a great performer..extremely fast and reliable.
,Best commuter I have ever owned.
,"What can I say, It's an Apple."
"(application, positive)","Having heard from friends and family about how reliable a Mac product is, I never expected to have an application crash within the first month, but I did."
"(physical form, neutral)",The Macbook pro's physical form is wonderful.
,"I have an iPhone, and iPad, so it just made sense to finish off the platform by adding the Mini."
,Not super light but still a good one.
"(body, positive)",The Mini's body hasn't changed since late 2010- and for a good reason.
"(unibody construction, neutral)",The unibody construction really does feel lot more solid than Apple's previous laptops.
,i had to return it for a replacement.
,It was wonderful deal for the wonderful product.
,It completely supports my home business and personal life.
"(3D rendering, negative)",3D rendering slows it down considerably.
"(OS X Mountain Lion, neutral)",Got this Mac Mini with OS X Mountain Lion for my wife.
,I am pleased to report that it is one of the best presents I have received to date.
,"Every day I had this computer, something failed on it."
"(screen, positive);  (apps, positive)","fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!"
"(boot, neutral)",12.44 seconds to boot.
"(ports, positive)",All the ports are much needed since this is my main computer.
"(package, positive);  (Radeon HD 6750M 512MB graphic card, positive);  (Quad-Core 2.5 GHz CPU, neutral);  (wireless Apple Keyboard and Mouse, positive);  (integrated Intel 4000 card, positive)","The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package."
"(cover, positive)",Put a cover on it and is a little better but that is my only complaint.
"(gestures, negative)",Within a few hours I was using the gestures unconsciously.
"(cable, positive);  (extender cable, positive)",This mac does come with an extender cable and I'm using mine right now hoping the cable will stay nice for the many years I plan on using this mac.
,This is the third in a series of MacBooks starting with a Black MacBook.
"(2.9ghz dual-core i7 chip, neutral)",The 2.9ghz dual-core i7 chip really out does itself.
,My life has been enriched since I have been using Apple products.
,i FINALLY DID IT AND THIS MACHINE IS THE WAY TO GO!
"(starts up, positive)",It is pretty snappy and starts up in about 30 seconds which is good enough for me.
,The few things that are wrong with it are very minor things.
"(heat, positive)","So noise is reduced at least 50% and the heat is much better, now it doesn't feel hot but warm."
"(Windows 8, negative)",Not sure on Windows 8.
,It's a lottery at this point as I have read that other have received new ones with the same problem.
"(internal CD drive, positive)",My one complaint is that there was no internal CD drive.
"(hard drive, positive)",This newer netbook has no hard drive or network lights.
,This is the first time for me to use a Mac and I'm really happy with the move.
,No complaints for an Apple product.
,The new MacBook is lightyears ahead of my old white plastic MacBook circa 2006.
,I would say that 85% of the design industry is Mac for good reason.
"(priced, neutral)","I was having a though time deciding between the 13"" MacBook Air or the MacBook Pro 13"" (Both baseline models, priced at 1,200 $ retail)"
,The last new mac I bought was in 1998.
,"There are reviews that speak to a few possible glitches but, I haven't seen them yet."
"(ports, positive);  (storage, positive)",Not too expense and has enough storage for most users and many ports.
,I am very satisfied with the mini.
"(audio volume, negative)",The audio volume is quite low and virtually unusable in a room with any background activity.
,"I am going to college next year and I needed a cheaper, quality computer for the goals I am trying to pursue."
,In the short time of one month since the 2012 Mac Mini was released there are well over 1000 posts regarding this issue and the numbers keep rising.
"(size, positive)",It is lightweight and the perfect size to carry to class.
,If you have to ask you don't own a Mac and your just not in the know.
,All my devises “talk” to each other.
,Why not 5 stars?
,Very Very Highly Recommended.
,?I am only interested in the 15.4  McBook Pro  Model # MD103LL/A
,I don't know why I didn't make the switch sooner...o ya because it's expensive.
"(Windows 8, neutral)",I was given a demonstration of Windows 8.
,The Macbook Pro is the premier choice for college students.
,"Their products, including the MBP, are beautiful, sleek and clever."
"(capabilities, neutral);  (capabilities, positive)",The MBP is beautiful has many wonderful capabilities.
"(settings, positive)","I thought that it will be fine, if i do some settings."
"(Runs, positive)",Runs very smoothly.
,Perfect--thanks so.
,"Also, it hardly ever crashes."
,I was so excited to get this in the mail i nearly gave myself a heart attack.
"(Boot-up, positive);  (Windows updates, positive)",Boot-up slowed significantly after all Windows updates were installed.
"(logic board, positive)",More likely it will require replacing the logic board once they admit they have a problem and come up with a solution.
,"When i finally held it in my hands i kissed it, yes i did."
"(graphic design, positive)","It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming."
,This computer is not cheap and represent an achievement for me.
"(right mouse click menu, positive)","I like the Mini Mac it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the PC especially the right mouse click menu."
,GET THIS MACHINE
,It's shiny and it's pretty.
"(Runs, positive)",Runs real quick.
,All the above aside this machine ROCKS!
"(RAM memory, positive)",Buy the separate RAM memory and you will have a rocket!
"(profile, neutral)","Since the machine's slim profile is critical to me, that was a problem."
,"Bottom line, if you can afford it, get a Mac!"
,I finally made the leap after my Gateway crapped out on me.
"(USB ports, neutral);  (USB ports, positive)","WiFi capability, disk drive and multiple USB ports to connect scale and printers was all that was required."
"(slot, negative);  (nail slot on the card, negative);  (SD card reader, negative)","The SD card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not."
"(anodized aluminum, neutral);  (touch, neutral)","Soft touch, anodized aluminum with laser cut precision and no flaws."
"(aluminium, neutral);  (glass, positive)","Simple details, crafted aluminium and real glass make this laptop blow away the other plastic ridden, bulky sticker filled laptops."
"(aluminum, positive);  (aluminum, neutral)",First of all yes this is a mac and it has that nice brushed aluminum .
,Who makes a laptop that can't rest on your lap?
"(hard drive, positive);  (hard drive, negative);  (Seagate Momentus XT hybrid drives, negative);  (Seagate Momentus XT hybrid drives, positive);  (Seagate Momentus XT hybrid drives, neutral)","After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive."
"(number pad on the keyboard, positive)","The Dell Inspiron is fast and has a number pad on the keyboard, which I miss on my Apple laptops."
,wow the new macbook pro hanged as i tried to type this review.
,The MacBook Pro is a great product which can meet the needs of the average consumer.
"(regular hard drive, positive)",I was concerned that the downgrade to the regular hard drive would make it unacceptably slow but I need not have worried - this machine is the fastest I have ever owned...
"(CD slot, neutral)",This one still has the CD slot.
"(HDMI port, neutral)",No HDMI port.
"(install Mountain Lion, positive)",I had to install Mountain Lion and it took a good two hours.
"(Customization, neutral)",Customization on mac is impossible.
,I hope this review helps.
,"However, you have to adjust yourself to what it will do, not what you want it to do."
"(Micron SSD, neutral);  (HD, neutral)",I am replacing the HD with a Micron SSD soon.
"(right click button, positive);  (two finger clicking, positive)",Plus two finger clicking as a replacement for the right click button is surprisingly intuitive.
,Far superior to my MacBook.
"(SuperDrive, positive)",The SuperDrive is quiet.
,It was quite easy.
"(battery, neutral);  (power adaptor, neutral);  (power plug, neutral)",The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.
,I decided to buy a few notebooks for my nephews for Xmas.
"(battery, negative)","The battery was completely dead, in fact it had grown about a quarter inch thick lump on the underside."
,This is no exception.
"(practicality, neutral)",if yo like practicality this is the laptop for you.
"(OS, positive)",The OS is great.
,I have had a black macbook since 2007.
"(monitors, positive);  (HDMI cables, positive)",I tried several monitors and several HDMI cables and this was the case each time.
"(Price, neutral)","CONS: Price is a bit ridiculous, kinda heavy."
,"If that is the case, then I am completely happy"
,10/10 five stars would recommend.
"(AC adaptor, positive)",The troubleshooting said it was the AC adaptor so we ordered a new one.
,"I fell in love with my machine, and it was pampered."
"(Fan, negative);  (playing a game, negative)",Fan only comes on when you are playing a game.
"(USB 2 ports, neutral)","Which it did not have, only 3 USB 2 ports."
"(startup disk, neutral)",No startup disk was not included but that may be my fault.
"(""tools"" menu, neutral)","There is no ""tools"" menu."
"(word program, positive)",It is very fast and has everything that I need except for a word program.
"(power switch, positive);  (CD/DVD drive, neutral)",Needs a CD/DVD drive and a bigger power switch.
,It is the best laptop ever!!!
"(Windows 7, neutral);  (Windows 8, neutral)",My laptop with Windows 7 crashed and I did not want Windows 8.
,Was skeptical about buying an electronic item online but it turned out to be a positive experience.
,Not a scratch or mark on it.
"(configure for ADSl cable or wifi, neutral)",Easy to install also small to leave anywhere at your bedroom also very easy to configure for ADSl cable or wifi.
,Words cannot express how much I love my new Mac.
"(speakers, positive)",The speakers could have been better but it wasn't a deal breaker... this is a great little laptop... love it!
,The item received was exactly as identified.
,Its everything mac offers.
"(packing, positive)",Nice packing.
,"Besides being elegant, the MacBooks are durable."
"(windows, neutral)","I switched to this because I wanted something different, even though I miss windows."
,"Yes, the MBP is more expensive than competing PC laptops."
"(iDVD, neutral)","Apple no longer includes iDVD with the computer and furthermore, Apple doesn't even offer it anymore!"
"(Windows 7, neutral)","I also wanted Windows 7, which this one has."
"(Mac system, negative)","At first, I feel a little bit uncomfortable in using the Mac system."
"(windows, negative)",I am used to computers with windows so I am having a little difficulty finding my way around.
,They replaced it and so far so good.
"(software, positive)",It just works out of the box and you have a lot of cool software included with the OS.
,Good in every aspect.
"(works, positive)",its as advertised on here..... it works great and is not a waste of money!
,"Replaced this one with my mac that was stolen, its a great computer."
,Just be careful; you always have to give up some good stuff for others.
"(Runs, neutral)",Runs like a champ.....
,Really great...Well let me start at the beginning.
"(price, positive);  (OS, positive)",Premium price for the OS more than anything else.
,This was a gift for my grand son.
"(touch pad, positive)","I was a little concerned about the touch pad based on reviews, but I've found it fine to work with."
"(reliability, positive)","I bought this Mac book pro along with a new 27"" iMac and while they are still light years more reliable than a PC I have noticed a decline in the reliability of my Mac computers."
"(sound, positive)","The sound as mentioned earlier isn't the best, but it can be solved with headphones."
"(track pad, neutral)","The track pad is a bit squirrely at times- sometimes too sensitive, and sometimes a bit unresponsive, but it's usable."
"(application, positive);  (OS, positive)","However, the experience was great since the OS does not become unstable and the application will simply shutdown and reopen."
,"Then only FOUR months later, my great MacBook pro FAILED."
"(price, neutral)","If you ask me, for this price it should be included."
"(battery, neutral)",The battery is not as shown in the product photos.
"(price, positive)",Even though I could have gotten a pc twice the speed for the same price I still think there's nothing like a Mac.
,Seems a much more economical way to get into Apple than their other computers.
"(Shipping, positive)",Shipping was quick and product described was the product sent and so much more...
,I'm so disgusted that I wasted my money on this product.
,All you get is a box and a computer.
"(retina display display, neutral)",the retina display display make pictures i took years ago jaw dropping.
,Its only crashed on me one time in the 3 months i've had it.
"(compact computing, positive)",The Mac Mini is probably the simplest example of compact computing out there.
"(performance and feature set of the hardware, positive)","Instead, I'll focus more on the actual performance and feature set of the hardware itself so you can make an educated decision on which Mac to buy."
,My bag just got a little lighter.
,I'm Not exagerating when I say this computer is perfect..i It is!!
,"This machine is flawless, fast, and classy."
"(ports, neutral);  (MagSafe port, neutral)","Other ports include FireWire 800, Gigabit Ethernet, MagSafe port, Microphone jack."
,I stayed up half the night enjoying my new MacBook Pro.
,This laptop is a 100 times better than a Chromebook!
"(ventilation system, negative);  (watching videos, negative);  (playing steam games, negative)","Additionally, there is barely a ventilation system in the computer, and even the simple activity of watching videos let alone playing steam games causes the laptop to get very very hot, and in fact impossible to keep on lap."
,"At $1899 to start, this is no cheap machine."
"(Acer support, neutral);  (operating system files, neutral)","Chatting with Acer support, I was advised the problem was corrupted operating system files."
"(keys, positive)",It's been a couple weeks since the purchase and I'm struggle with finding the correct keys (but that was expected).
"(OS, positive)","Many people complain about the new OS, and it's urgent for Apple to fix it asap!"
"(MAC OS, positive);  (Lion, positive)",Now that I have upgraded to Lion I am much happier about MAC OS and have just bought an iMac for office.
"(RAM, neutral);  (HDD, neutral)",User upgradeable RAM and HDD.
"(CD/DVD player, neutral)",But I wanted the Pro for the CD/DVD player.
,"I might have read it incorrectly, but better safe than sorry right?"
,The ultimate graduation gift.
"(RAM memory, positive)",The RAM memory is good but should have splurged for 8Mb instead of 4Mb.
,"was debating to buy one for months, checked out different stuff on youtube, and read different articles and debates,I just didnt really wanna spend the money but Im glad that I did."
,I love it and would recommend it to everyone who is tired of the constant attention PC's require.
"(os.x, positive);  (windows, positive)",I was a little worry at first because I don't have a lot of experience with os.x and windows has always been second nature to me after many years of using windows.
,"I am an Info Sys major in college, so I started researching this issue on my own."
,Solution: it turned out to be pretty simple.
"(OS, positive)",With the softwares supporting the use of other OS makes it much better.
,Still haven't solved this.
"(Mac OS X 10.8 ""Mountain Lion"", neutral)","I then upgraded to Mac OS X 10.8 ""Mountain Lion""."
,It is EXTREMELY fast and never lags.
,I told them that I just received my brand new MacBook but I was having issues.
"(performance, neutral)","I was considering buying the Air, but in reality, this one has a more powerful performance and seems much more convenient, even though it's about .20 inch thicker and 2 lbs heavier."
"(external 24"" LCD screen, positive);  (built in screen size, positive)","At home and the office it gets plugged into an external 24"" LCD screen, so built in screen size is not terribly important."
,Hopefully my replacement is brand new.
"(DVD slot, neutral);  (install software, neutral)",Just beware no DVD slot so when I went to install software I had on CD I couldn't.
"(word processing program, positive)","I bought it to be able to dedicate a small, portable laptop to my writing and was surprised to learn that I needed to buy a word processing program to do so."
"(third-generation CPU (""Ivy Bridge""), neutral);  (fourth-generation Haswell CPU, neutral)","This version of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has."
,"Actually, I think I was intimidated by the change from a PC."
"(features, positive)",No Cd Rom in the new version there's no way I'm spending that kind of money on something has less features than the older version.
,Definitely worth spending the money on it.
,I have three words: Piece of Junk!
"(volume, negative);  (volume, neutral)",the volume is really low to low for a laptopwas not expectin t volume to be so lowan i hate that about this computer
,Fits all my personal needs.
,I'm the pro-active type so I went off and did some preventative fixes.
"(case, positive)",and its not hard to accidentally bang it against something so i recommend getting a case to protect it.
,I wanted to explore what the Mac was all about.
"(price, positive)",I got this at an amazing price from Amazon and it arrived just in time.
"(log into the system, negative)","Every time I log into the system after a few hours, there is this endlessly frustrating process that I have to go through."
,The majority of the reviews seem to be for the 13.3 MacBook Pro  Model # MD101LL/A.
"(set up, positive);  (21"" LED screen, positive);  (SSD, positive)","Put a SSD and use a 21"" LED screen, this set up is silky smooth!"
,I saw the bad reviews from people saying to buy directly from Apple and I was concerned but I took my chances and am overly impressed.
"(external power supply, positive);  (case, neutral)","The case is now slightly larger than the previous generation, but the lack of an external power supply justifies the small increase in size."
"(wireless mouse, positive);  (key board, positive)","I had to buy a wireless mouse to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding."
"(price tag, neutral);  (cost of ownership, positive)","When considering a Mac, look at the total cost of ownership and not just the initial price tag."
"(USB ports, neutral);  (VGA port, neutral)","Has all the other features I wanted including a VGA port, HDMI, ethernet and 3 USB ports."
,A great college tool!
"(rubber pads, neutral)",The only thing I dislike about this laptop are the rubber pads found on the bottom of the computer for grip.
,I called apple and no solution.
"(price, positive)",It's a decent computer for the price and hopefully it will last a long time.
"(price, positive)",I was really happy because it is a much better price on amazon.com than it was in the Mac store.
,The worst a Mac ever did to me was freeze up.
"(operation, positive);  (heat output, negative)",The nicest  part is the low heat output and ultra quiet operation.
,I am paying apple to kill my self and my wallet.
,NO STAR FOR THIS TRASH.[...
"(upgrade the ram, neutral)",I will upgrade the ram myself (because with this model you can you can do it) later on.
"(price, negative)",The price is 200 dollars down.
"(external microphones, positive);  (built-in mic, positive)","this Mac Mini does not have a built-in mic, and it would seem that its Mac OS 10.9 does not handle external microphones properly."
"(features, positive);  (shortcuts, positive)",A lot of features and shortcuts on the MBP that I was never exposed to on a normal PC.
"(IOS system, positive)",Wasn't sure if I was going to like it much less love it so I went to a local best buy and played around with the IOS system on a Mac Pro and it was totally unique and different.
,Quietest laptop I have ever owned.
"(resolution, negative);  (fonts, positive)",air has higher resolution but the fonts are small.
,again this is just my personal honest opinion.
,If you have much higher expectations than that... I would look elsewhere.
"(features, positive);  (working, positive)","working with Mac is so much easier, so many cool features."
,I'm going to buy a logitevh c270.
,Very happy with my purchase.
"(brightness, neutral);  (adjustments, neutral)",I like the brightness and adjustments.
,I'M SO HAPPY WITH MY macbook pro!
"(CD/DVD player, neutral)",I only wish this mac had a CD/DVD player built in.
"(backlit keys, neutral)",The only thing I miss is that my old Alienware laptop had backlit keys.
"(""Home/End"" type keys, neutral)","The only thing I miss are the ""Home/End"" type keys and other things that I grew accustomed to after so long."
"(Microsoft Word, positive)","So happy with this purchase, I just wish it came with Microsoft Word."
,It is more than enough computer to keep up with the needs of a high school student.
"(memory, positive)",It has enough memory and speed to run my business with all the flexibility that comes with a laptop.
"(simplicity, neutral);  (speed, neutral);  (design, neutral)","The speed, the simplicity, the design.. it is lightyears ahead of any PC I have ever owned."
,I love everything about this computer.
,I found it toughest to decide between Dell ultra books and Apple.
"(battery life, positive);  (display, positive)","The battery life is excellent, the display is excellent, and downloading apps is a  breeze."
"(software, neutral);  (screen, neutral);  (operating system, neutral)","The screen, the software and the smoothness of the operating system."
,"While we struggle with all the crashes and viruses, the kids computers stay consistent and so we caved in and bought one for buisness!"
,I don't want to RUN a computer; I want to USE a computer.
"(slim plastic case, negative);  (slim plastic case, neutral)",i have dropped mine a couple times with only a slim plastic case covering it.
"(recovery USB stick, neutral)",I also made a recovery USB stick.
,Being a PC user for many years to switch to a Mac I will not go back.
"(bass, negative)","But with this laptop, the bass is very weak and the sound comes out sounding tinny."
,I do admit it is pricey but the saying is really true with this MacBook Pro Laptop ( You get what you pay for).
,"I've almost have bought every generation of MacMinis since 2005, and this one hasn't let me down."
"(built quality, positive)","The built quality is really good, I was so Happy and excited about this Product."
"(performance, positive)",I am loving the fast performance also.
,I had to return it because it wouldn't even start.
"(range, negative);  (Bluetooth interface, neutral)","Further, this Mac Mini has a sloppy Bluetooth interface (courtesy of the Mac OS) and the range is poor."
,Great deal on an amazing lap top!
"(start menu, neutral)",If you start on the far right side and scroll to your left the start menu will automatically come up.
,Best money I ever spent.
"(RAM, positive)",My only gripe would be the need to add more RAM.
,But I didn't want to spend another thousand on a laptop since my work already provides me with a PC.
"(touch screen, positive)",Fine if you have a touch screen.
,can never go wrong with apple products.
"(games, positive);  (Photoshop, positive)","As far as user type - I dabble in everything from games (WoW) to Photoshop, but nothing professionally."
,"It doesnt get hot like my PC, with technology always at the tip of our fingertips anytime I forget how to do something i just google it."
"(""WLAN"" card, neutral);  (LAN device drivers, neutral)","I re-seated the ""WLAN"" card inside and re-installed the LAN device drivers."
"(battery life, positive);  (built, positive)","This by far beats any computer out on the market today built well, battery life AMAZING."
,"I haven't used it for anything high tech yet, but I love it already."
"(OS, positive)","The OS is easy, and offers all kinds of surprises."
"(Apple Customer Support, neutral)",I had to get Apple Customer Support to correct the problem.
,Ideal for someone on the go or for a high school students.
"(USB3, positive);  (Firewire 800, positive);  (Windows 7, positive);  (MAC OS, positive)",A veryimportant feature is Firewire 800 which in my experience works better then USB3 (in PC enabled with USB3)I was not originally sold on the MAC OS I felt it was inferior in many ways To Windows 7.
"(security, neutral);  (graphics stuff, positive)","I like iTunes, the apparent security, the Mini form factor, all the nice graphics stuff."
"(remove the card, positive);  (card reader, positive)",The first time I used the card reader it took half an hour and a pair of tweezers to remove the card.
,This flaw unfortunately detracts from everything else Apple got right with the Mini.
"(spinning hard disk, negative);  (spinning hard disk, positive)","After replacing the spinning hard disk with an ssd drive, my mac is just flying."
"(firmware patch, neutral)",I know some people complained about HDMI issues but they released a firmware patch to address that issue.
"(specs, positive)",With the needs of a professional photographer I generally need to keep up with the best specs.
,Added an iMac about 2 years later.
"(packing, positive)",packing and everything was perfect
,I will not hesitate to recommend it to family and friends
"(mother boards, neutral)",I called Toshiba where I gave them the serial number and they informed me that they were having issues with the mother boards.
"(graphics card, neutral);  (Mother Board, neutral)","I seem to be having repeat problems as the Mother Board in this one is diagnosed as faulty, related to the graphics card."
"(8G of RAM, positive);  (4G of RAM, positive);  (performs, positive)",It also comes with 4G of RAM but if you're like me you want to max that out so I immediately put 8G of RAM in her and I've never used a computer that performs better.
"(virtual home schooling, neutral)",This computer is also awesome for my sons virtual home schooling.
"(Cost, positive)",Cost is more as compared to other brands.
"(mobility, neutral);  (durability of the battery, positive);  (operating system, positive)",also...- excellent operating system- size and weight for optimal mobility- excellent durability of the battery- the functions provided by the trackpad is unmatched by any other brand-
"(hardware, positive)",This hardware seems to be better than the iMac in that it isn't $1400 and smaller.
,I'm done with WinDoze computers.
"(software, neutral);  (updates, neutral)",I've had it for about 2 months now and found no issues with software or updates.
"(disc drive, positive)",the latest version does not have a disc drive.
"(res, negative)",Screen - although some people might complain about low res which I think is ridiculous.
