Aspect term,Aspect category,Review text
"kitchen food,  sushi",anecdotes/miscellaneous,"While their kitchen food is delicious, their Sushi is out of this world."
,"food,  ambience","The atmosphere is attractive, but a little uncomfortable."
nice dinner,food,"I went to Swiftys with some friends of the family and we had a very nice dinner, but nothing amazing."
"hot,  cakes",food,Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast.
,food,This place has the best pizza.
"free appetizers,  filet mignon,  nice non-sushi selection",service,"but, the filet mignon was not very good at all cocktail hour includes free appetizers (nice non-sushi selection)."
chicken milanese,"food,  anecdotes/miscellaneous",I recomend the chicken milanese.
,anecdotes/miscellaneous,Cool atmosphere but such a let down.
,anecdotes/miscellaneous,Didn't seem like any effort was made to the display and quality of the food.
,anecdotes/miscellaneous,You'll see a lot of people eating there after church.
,anecdotes/miscellaneous,"Believe me, they live up to the name."
,anecdotes/miscellaneous,"menu - uneventful, small."
"dirt-cheap prices,  area residents crowd","food,  anecdotes/miscellaneous","A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices."
,"ambience,  food,  anecdotes/miscellaneous",It is bland and nothing extrodinary.
good mix,food,A plus was the good mix of people in their twenties that provided for great eye-candy while I was there.
management,"food,  anecdotes/miscellaneous",The Management was less than accomodating.
,service,A nice find in the neighborhood.
"credit,  dent,  card,  big",food,But make sure you have enough room on your credit card as the bill will leave a big dent in your wallet.
,"food,  anecdotes/miscellaneous,  service","The service is great, my soup always arrives nice and hot."
"bit,  noisy",food,"While it was large and a bit noisy, the drinks were fantastic, and the food was superb."
"pizzas,  main courses",food,Pizzas were excellent in addition to appetizers and main courses.
peanut butter tart,food,"The best dessert, a chocolate and peanut butter tart, isn't particularly Hawaiian, but it's a small world when it comes to sweets."
've eaten,"food,  anecdotes/miscellaneous","I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far."
"cute,  's","food,  service",It's cute and simple and I loved it.
eggplant salad,food,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas."
"thing,  great","food,  anecdotes/miscellaneous,  service",Another great thing about Glechik-everything is very cheap!
pizza,"food,  service",Curioni's Pizza has been around since the 1920's.
,anecdotes/miscellaneous,Having moved I truly miss this place.
ghetto scenery,anecdotes/miscellaneous,If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!
"or bad service,  bad meal","food,  service",I HAVE NEVER HAD A BAD MEAL(OR BAD SERVICE )@ PIGALLE.
,"food,  anecdotes/miscellaneous,  service",My friends and I stop here for pizza before hitting the Kips Bay movie theater.
,anecdotes/miscellaneous,The staff greeted me warmly at the door and I was seated promptly and the food was excellent.
,anecdotes/miscellaneous,The restaurant was quiet and intimate.
"cool atmosphere,  delicious food,  great drinks,  excellent service",food,"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food."
delicious shrimp creole,ambience,i had a delicious shrimp creole.
great beer selection,"food,  anecdotes/miscellaneous","Great beer selection too, something like 50 beers."
good job guys,anecdotes/miscellaneous,"To the owners; good job guys, this place is a keeper!"
,food,The staff was extremely friendly and pleasant.
great meal,"food,  service","If you're in the neighborhood, definitely stop by for a great meal."
,food,"Don't ever bother - the drinks were awful, but it was the people who work there that really made this the worst experience at dining."
,food,"Here's the thing, you're in the best city in the world for restaurants."
,food,You will not be missing anything.
,anecdotes/miscellaneous,The quality of the meat was on par with your local grocery store.
friendly owners,anecdotes/miscellaneous,"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff."
,food,Stay with the roasted chickens and you'll be fine.
,food,"Great restaurant, and even greater food!"
"great atmosphere,  great,  great waitstaff,  great food",price,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!"
,food,"However, it was worth the visit."
"pretty good prices,  attentive service",price,"Huge portions, great and attentive service, and pretty good prices."
save,"food,  anecdotes/miscellaneous",Save room for deserts - they're to die for.
"fancy food,  strangest menu",anecdotes/miscellaneous,This place has the strangest menu and the restaurants tries too hard to make fancy food.
beef noodle soup,"food,  anecdotes/miscellaneous,  service",I usually get one the Vietnamese Beef Noodle Soup.
potato spinach gnocchi,anecdotes/miscellaneous,Favourites include: potato spinach gnocchi and the lamb.
,anecdotes/miscellaneous,"And as SOON as one person is done, she asked to pick up the plate immediately."
,anecdotes/miscellaneous,"Even when the chef is not in the house, the food and service are right on target."
,food,The $72 Delmonico steak had to be sent back because it was not cooked to order.
,anecdotes/miscellaneous,The decor is designed in a contemporary Japanese style restaurant.
"latin food,  ca n't",anecdotes/miscellaneous,"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong."
garlic shrimp,"food,  ambience,  anecdotes/miscellaneous,  service",I ordered the Chicken Teriyaki and my husband got Garlic Shrimp.
,anecdotes/miscellaneous,This is definitely one of the places that I have continued to come back to over the years.
,anecdotes/miscellaneous,A con was the slow bar service.
,service,One caveat: Some of the curried casseroles can be a trifle harsh.
top notch,anecdotes/miscellaneous,The bread is top notch as well.
,food,This place was the worst.
,food,All I can say is they are fantastic.
,food,The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.
wrong entree,food,"What can you say about a place where the waitress brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way)."
foie gras,"food,  service",The foie gras was sweet and luscious.
chinese food,"food,  anecdotes/miscellaneous","Frankly, the chinese food here is something I can make better at home."
"curry leaf,  good service,  great indian food",food,"If you're looking to taste some great Indian food and want good service, definitely visit Curry Leaf."
,"food,  anecdotes/miscellaneous","After waiting for almost an hour, the waiter brusquely told us he'd forgotten to give the kitchen our order."
,anecdotes/miscellaneous,The sushi is reasonably priced and fresh.
wonderful place,food,I think this a a wonderful place.
,anecdotes/miscellaneous,The service is excellent and always informative without an air.
,food,I went to Kitchenette this weekend for brunch.
"the crabcakes are way over salted and do n't get me started on the very greasy mac and cheese,  the banana pudding they serve has never seen an oven",anecdotes/miscellaneous,"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE."
,anecdotes/miscellaneous,We ordered a glass of wine and were finished eating and paying before the wine came.
fresh leaf salad,anecdotes/miscellaneous,The chicken and falafel platters were nondescript combinations with fresh leaf salad.
"taste,  great reviews","food,  anecdotes/miscellaneous","After reading the great reviews, I invited a die-hard downtown friend of mine to join me at TASTE."
,food,Service is usually pretty good.
"decent menu,  dessert pizza",food,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza."
"feeling,  squished-in","food,  anecdotes/miscellaneous",Alias is warm and cozy and you don't get that squished-in feeling you get at 71 Clinton.
"good service,  good value,  great food","food,  anecdotes/miscellaneous,  service","Good service, great food, good value, and never have to wait in line!"
"black truffle sauce,  style hamburger steak,  black cod,  spicy cod roe spaghetti,  chelsea,  creative menu","food,  anecdotes/miscellaneous","My Chelsea's impressive and creative menu includes modern, Westernized Japanese dishes such as Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, black cod with miso base, and rack of lamb in black truffle sauce, to name a few."
,"food,  price,  anecdotes/miscellaneous,  service",the food - not worth the price.
delivery service,anecdotes/miscellaneous,"There restaurant is very casual, but perfect for lunch, and their delivery service is always very fast."
,service,15% gratuity automatically added to the bill.
york,anecdotes/miscellaneous,"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile."
wine list,"food,  anecdotes/miscellaneous","The wine list is extensive, well priced and covers alot of regions."
,"food,  anecdotes/miscellaneous","The food is wonderful, artfully done and simply delicious."
healthy lunch,anecdotes/miscellaneous,My daughter and I left feeling satisfied (not stuffed) and it felt good to know we had a healthy lunch.
"whether,  pizza place",food,Whether one pizza place is better than another is often very subjective.
,"food,  anecdotes/miscellaneous","Straight-forward, no surprises, very decent Japanese food."
,"food,  anecdotes/miscellaneous",It's the kind of place I like to support!
,anecdotes/miscellaneous,It gets crowded at lunchtime but there are lots of seats in back and everyone who works there is so nice.
,"food,  anecdotes/miscellaneous",My wife I lived on the west side and found this while visiting firends on the UES.
,anecdotes/miscellaneous,"It was such a fantastic dining experience, that I returned again the same week."
,"food,  service","Yum, the chicken is great here."
good food,food,it is a hidden delight complete with a quaint bar and good food.
staff members,food,The staff members are extremely friendly and even replaced my drink once when I dropped it outside.
,food,THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.
good value,anecdotes/miscellaneous,"Best Chinese on the Upper East, prompt delivery, good value."
"hot,  dog","food,  anecdotes/miscellaneous,  service",i dont know what some people who rave about this hot dog are talking about.
,"food,  anecdotes/miscellaneous",The help was extremely nice and did not rush us.
,food,You will be very happy with the experience.
,service,"Since I cook for a living, I'm very fussy about the food I eat in restaurants."
chocolate raspberry cake,anecdotes/miscellaneous,"The chocolate raspberry cake is heavenly- not too sweet, but full of flavor."
brooklyn,"food,  anecdotes/miscellaneous","The staff is arrogant, the prices are way high for Brooklyn."
siam,food,Siam Square is fairly new to the neighborhood and I think in time will gain the recognition it deserves.
great place,food,Bobb V's is a great place to take your Friends and Family!
all cost,food,Do yourself a favor and avoid this place at ALL COST!
,anecdotes/miscellaneous,I was highly disappointed by their service and food.
"past,  summer",anecdotes/miscellaneous,I recently visited over this past summer after being away for a year.
"friendly service,  decent prices,  great food",service,"Speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast."
top-notch food,food,"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening."
"chillis,  green","food,  anecdotes/miscellaneous","When the dish arrived it was blazing with green chillis, definitely not edible by a human."
supportive staff,anecdotes/miscellaneous,Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.
own vegetable garden,"food,  anecdotes/miscellaneous,  service","All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made."
"cozy ambiance,  exquisite choice,  serious indian food","food,  anecdotes/miscellaneous","If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice."
midtown area,"food,  anecdotes/miscellaneous","There are many french bistros in the midtown area, and I wholheartedly recommend this one."
,anecdotes/miscellaneous,personally i say save your money.
"whole,  experience",anecdotes/miscellaneous,The whole experience was satisfying.
"halibut cheek appetizer,  foie gras,  positive thing,  generous portion","anecdotes/miscellaneous,  service","The halibut cheek appetizer came with a generous portion of foie gras, but that's about the only positive thing I can say about the meal."
"pre-show meal,  uptown location","food,  anecdotes/miscellaneous","If you are here as a pre-show meal, hop in a cab and take the extra 10 minutes to go to the uptown location."
,anecdotes/miscellaneous,It took about 2 1/2 hours to be served our 2 courses.
,"food,  anecdotes/miscellaneous",This is the best Italian restaurant in the city.
,anecdotes/miscellaneous,My friend told me about this restaurant for a year before he finally took me this weekend.
free desserts,"food,  anecdotes/miscellaneous",My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.
've eaten,"anecdotes/miscellaneous,  service","I've eaten at all three locations and I always love, love the food, the service is always wonderful and the prices are really reasonable."
this place sucks,anecdotes/miscellaneous,"in conclusion, THIS PLACE SUCKS!!!"
"shrimp dishs,  cold sesame noodles",food,"The food is great, I love their dumplings, cold sesame noodles, chicken and shrimp dishs."
,"anecdotes/miscellaneous,  service",The staff is 100% Italian and the food is as authentic as it gets.
nikki sushi,anecdotes/miscellaneous,"now called nikki sushi, sushi is OK."
"midtown area,  really",anecdotes/miscellaneous,Really Lovely dining experience in the midst of buzzing midtown area.
terrible meal,food,Way too much money for such a terrible meal.
small portions,anecdotes/miscellaneous,I was starving and the small portions were driving me crazy!
"pub herd,  black sheep",food,In Short The Black Sheep distinguishes itself from the Midtown pub herd with a look that's a mix of sports-bar butch and ornate kitsch.
,"food,  anecdotes/miscellaneous,  service",The fried calamari was even better!
,"anecdotes/miscellaneous,  service","To be fair, the food still is good and the service is quick and attentative even though its usually very busy."
authentic hong kong-style food,anecdotes/miscellaneous,"if you're looking for authentic hong kong-style food, look no further."
"square garden,  places worthy,  's square check",service,"Nick Stef's is one of the only places worthy of going in the area, so if you happen to be by Madison Square Garden or Herald's Square check it out!"
,"food,  anecdotes/miscellaneous",I have dined at Mammino several times now and each time it gets bettter.
"i,  snotty,  hearty,  guffaw,  whilst","food,  anecdotes/miscellaneous,  service",the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw whilst dining.
,food,The wait staff was very attentive and polite.
chinatown,anecdotes/miscellaneous,Could have had better for 1/3 the price in Chinatown.
,"food,  service",I recommend any of their salmon dishes......
be,food,Be sure to accompany your food with one of their fresh juice concoctions.
,food,The food is very good and the service is great.
cuisine,food,Cuisine is billed as asian fusion - doesn't meet the bill.
friendly staff memebers,anecdotes/miscellaneous,"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat."
laid-back atmosphere,"food,  service","they really provide a relaxing, laid-back atmosphere."
"bad,  manners",service,"several times and put up with the waiters' bad manners, knowing that their job isn't easy."
,"food,  service",The Deco and ambiance was really romantic.
small place,"food,  anecdotes/miscellaneous","The room is a little plain, but it's difficult to make such a small place exciting and I would not suggest that as a reason not to go."
,"food,  service","It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable."
,food,"The service is really fast and friendly, and the value is great."
"wide variety,  boutique selection","food,  anecdotes/miscellaneous",The boutique selection of wines covers a wide variety without being imposeing.
great food,"anecdotes/miscellaneous,  service",Great food but the service was dreadful!
"black sheep,  pub fare,  shepherds pie",service,""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians."
"birthday,  's,  casual,  friend,  lunches","food,  anecdotes/miscellaneous,  service",I've come here for casual lunches as well as for a friend's birthday and I always enjoy myself.
quick service,anecdotes/miscellaneous,They have very quick service which is great when you don't have much time.
"awesome dinner,  chelsea","anecdotes/miscellaneous,  service",It's worthwhile to take a cab to Chelsea just for an awesome dinner at My Chelsea.
"busy,  friday,  night",food,My order is on my table even on a busy friday night within 10 minutes (at the most) of hanging up the phone.
cold side,anecdotes/miscellaneous,My chicken was completely dried out and on the cold side and the sauce was not very flavorful.
,anecdotes/miscellaneous,"I would not recommend MEET at all, it is a rip off all the way from the time to step in!"
,"food,  anecdotes/miscellaneous,  service",The prices are not terrible.
,"food,  anecdotes/miscellaneous","I recommend the black roasted codfish, it was the best dish of the evening."
"interesting selection,  lowkey hip neighborhood clientele,  good music,  nice tapas",anecdotes/miscellaneous,"It has good music, nice tapas, an interesting selection of wines (primarily Spanish) and a lowkey hip neighborhood clientele."
atmosphere,"food,  anecdotes/miscellaneous",Atmosphere is a bore.
"good food,  right price",food,"Good food at the right price, what more can you ask for."
,"food,  anecdotes/miscellaneous",The falafal was rather over cooked and dried but the chicken was fine.
,anecdotes/miscellaneous,The service was outstanding.
,"anecdotes/miscellaneous,  service","Not only was the waiter efficient and courteous, but also extremely helpful. "
dessert,service,Dessert was also to die for!
"dark chicken,  microwave taste",anecdotes/miscellaneous,"In mi burrito, here was nothing but dark chicken that had that cooked last week and just warmed up in a microwave taste."
quick meal,"food,  anecdotes/miscellaneous,  service",perfect for a quick meal.
,"anecdotes/miscellaneous,  service","However, the food and service and dramatically lacking."
,service,"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants."
"dente pasta,  generous portions",food,"Perfectly al dente pasta, not drowned in sauce -- generous portions."
sweet irish bartender,anecdotes/miscellaneous,Sweet Irish bartender is always happy and able to bring a smile to my friends a my face.
"cell,  phone",anecdotes/miscellaneous,The sushi is cut in blocks bigger than my cell phone.
,"food,  anecdotes/miscellaneous,  service","This place is Italian, not French."
,anecdotes/miscellaneous,"Weekends can get crowded, but still highly recommended."
"lamb entree,  avocado shrimp",food,"The comments about fried foods is correct (below) but the other dishes, including the lamb entree and many of the salads (avocado shrimp) were quite good."
,food,Whatever the reason it is definitely the place to be.
,service,"Not only do they have the best escargot in town,they always try to accomodate our toddler."
,"food,  service","BTW, the service is very good ."
staff,food,Staff is accomodating make sure you are satified.
late lunch,anecdotes/miscellaneous,last Tuesday for a late lunch with a friend.
,anecdotes/miscellaneous,Service was awful - mostly because staff were overwhelmed on a Saturday night.
,"food,  service","Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport."
,anecdotes/miscellaneous,"And the food, well the food will keep you coming back."
,anecdotes/miscellaneous,This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.
,anecdotes/miscellaneous,"Slow service, but when you're hanging around with groups of 10 or 20, who really notices?"
was highly disappointed by the food,service,I WAS HIGHLY DISAPPOINTED BY THE FOOD.
,"food,  anecdotes/miscellaneous","If you're in the 'hood, definitely stop in."
"atmosphere ...,  gracious hostess",anecdotes/miscellaneous,"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess."
"beautiful ambience,  attentive service,  excellent food","food,  service","Although small, it has beautiful ambience, excellent food (the catfish is delicious - if ya don't mind it a lil salty) and attentive service."
,service,We loved it and will go back!
"olives,  onion,  beans,  nicoise,  green,  red",anecdotes/miscellaneous,"No green beans, no egg, no anchovy dressing, no nicoise olives, no red onion."
meal,anecdotes/miscellaneous,Meal was very expensive for what you get.
,food,"So we sat at the bar, the bartender didn't seem like he wanted to be there."
sushi,anecdotes/miscellaneous,"I trust the people at Go Sushi, it never disappoints."
good food good wine,food,good food good wine that's it.
"cheese baclava ... soooo,  lamb kebabs,  rice medley,  root vegetables,  spinach thing,  fresh veggies",anecdotes/miscellaneous,"Fresh veggies, all sorts of middle eastern spreads, cheese and falafel, soup, fish, rice, root vegetables, a rice medley, some spinach thing, lamb kebabs, cheese baclava... soooo much fooood, and all of it delicious."
positive thing,anecdotes/miscellaneous,"The one positive thing I can say is that the service was prompt, we got seated right away and the server was very friendly."
"excellent quality,  good restaurant price",anecdotes/miscellaneous,Food is excellent quality for a good restaurant price.
"rib tips,  bbq",anecdotes/miscellaneous,"And, the honey BBQ rib tips are yummy!"
,anecdotes/miscellaneous,We spent so much time getting elbowed around while we waited we left.
,"price,  anecdotes/miscellaneous",Stay away if you're claustrophobic
,"food,  ambience,  service","Not because I was pregnant, but the food here is always delicious."
do n't know what the others on the block were like but we were pleased with our choice,anecdotes/miscellaneous,DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.
,food,"I got the opportunity to dine at your establishment again a few weeks ago, I was in your upstrairs dining area."
whether,"food,  anecdotes/miscellaneous,  service",Whether your choose the iced blended mocha or the hot white mocha you are sure to be extremely happy.
,anecdotes/miscellaneous,Before the place didn't call my attention.
"order $ 10+,  cold sesame noodles",food,"The cold sesame noodles, which are a freebie when you order $10+, are delectable."
great food,"anecdotes/miscellaneous,  service","The other times I've gone it's romantic date heaven, you can walk in get a booth by the windows, be treated like a VIP in a not-crowded place, with great food and service."
,food,the food is delicious and highly recommended.
,anecdotes/miscellaneous,mojitos and the service are the best part in there
,anecdotes/miscellaneous,We were so happy with our food and were even more thrilled when we saw the bill.
,ambience,I would only go for the coffee which is way better than Starbucks or the like.
,"food,  service","After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie."
,anecdotes/miscellaneous,My husband and I had a blast.
"nick,  joe",food,My personal favorite is Nick and Joe's.
,food,"Too bad, has a lot of potential."
,"food,  anecdotes/miscellaneous",We live in the neighborhood and have been going there twice a week since the day they first opened.
,anecdotes/miscellaneous,"But dinner here is never disappointing, even if the prices are a bit over the top."
,anecdotes/miscellaneous,The food is great and the milkshakes are even better!
"mozzarella sticks,  appetizer selection stinks",anecdotes/miscellaneous,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu."
fun place,"anecdotes/miscellaneous,  service",It's the conversations that make this a fun place to be.
,"food,  anecdotes/miscellaneous,  service",My friend had a burger and I had these wonderful blueberry pancakes.
owner,anecdotes/miscellaneous,Owner is pleasant and entertaining.
,food,"The atmosphere is warm, comfortable, artsy and sexy."
prime time,anecdotes/miscellaneous,The place just isn't ready for prime time.
,anecdotes/miscellaneous,"The waiters were very professional, courteous and attentive."
,anecdotes/miscellaneous,"I have never in my life sent back food before, but I simply had to, and the waiter argued with me over this."
,"food,  service",Would not return for the amount we paid.
,service,We'd walked by it dozens of times and finally settled on a Monday night.
"casual drink,  place worthwhile","anecdotes/miscellaneous,  service","However, there is just something so great about being outdoors, in great landscaping, enjoying a casual drink that makes going to this place worthwhile."
,anecdotes/miscellaneous,went there last night with my coworker.
n't look,"anecdotes/miscellaneous,  service","It doesn't look like much on the outside, but the minute you walk inside, it's a whole other atmosphere."
,anecdotes/miscellaneous,I was pleasently surprised at the taste.
"busy,  hrs",anecdotes/miscellaneous,"during busy hrs, i recommend that you make a reservation."
"real,  talent",anecdotes/miscellaneous,"Chef Vincenzo, always there if you need him, is a real talent and a real Roman."
,food,"The closest that I got was the Cherry Marscapone, but they were out of it that day."
,food,"The sauce may not be for everyone, since it is distintive."
waiting,food,Waiting three hours before getting our entrees was a treat as well.
,price,"The food is surprisingly good, and the decor is nice."
,anecdotes/miscellaneous,"Also, the staff is very attentive and really personable."
cajun shrimp,"food,  service","Stick to the items the place does best, brisket, ribs, wings, cajun shrimp is good, not great."
,food,It had been awhile and I forgot just how delicious crepes can be.
dumont,"food,  anecdotes/miscellaneous","OK, I've been to Dumont a few times now."
"great experience,  dessert menu",food,"We recently spent New Year's Eve at the restaurant, and had a great experience, from the wine to the dessert menu."
convenient location,"food,  anecdotes/miscellaneous","Unfortunately, unless you live in the neighborhood, it's not in a convenient location but is more like a hidden treasure."
mediocre places,food,With all the mundane or mediocre places on 8th avenue it is nice to have one that is a step above in quaility and atmosphere.
sum it,food,"SUM IT: local investment bankers like it, try for yourself at least once."
,"food,  service",The staff is very friendly.
,anecdotes/miscellaneous,The waiters ALWAYS look angry and even ignore their high-tipping regulars.
,"anecdotes/miscellaneous,  service",The music which is sometimes a little too heavy for my taste.
,"anecdotes/miscellaneous,  service","Not to be overlooked, the service is excellent."
,anecdotes/miscellaneous,"This place is classy, chic, the service is warm and hospitable, and the food is outstanding."
,"anecdotes/miscellaneous,  service",Average cake thats been courted by a LOT of hype.
dumont,anecdotes/miscellaneous,"Maybe it's that most of Dumont's patrons are younger and have lower expectations, but I cannot recommend Dumont."
"turn,  slight","food,  price",The lack of AC and the fact that there are a million swarming bodies (although everyone is polite and no one is pushing) is a slight turn off.
,anecdotes/miscellaneous,"for an appetizer, their calamari is a winner."
,anecdotes/miscellaneous,The ambience is also more laid-back and relaxed.
